,Lb_name,Lb_adress2,Lb_longitude,Lb_latitude,Cr_name,Cr_adress2,Cr_longitude,Cr_latitude,great-circle distance,haversine distance,walking_distance_in_m,walking_distance_in_km,walking_time_in_s,walking_time_in_min,car_distance_in_m,car_distance_in_km,car_time_in_s,car_time_in_min
366181,Ladbrokes L2647,"50 Milton Street  ,Nottingham  ,  ,NOTTINGHAM  ,NG1 3GL",-1.1481475,52.9562877,C2338,"Unit 2a  ,The Elite Building  ,  ,NOTTINGHAM  ,NG1 2BP",-1.1500089,52.9548267,205,0.204792072,337,0.3 km,267,4 mins,294,0.3 km,98,2 mins
367289,Ladbrokes L0025,"Unit 115  ,Victoria Shopping Centre  ,  ,NOTTINGHAM  ,NG1 3DB",-1.1468719,52.9558227,C3123,"33 Long Row  ,Nottingham  ,  ,NOTTINGHAM  ,NG1 2DR",-1.1499687,52.95389,299,0.298698526,484,0.5 km,346,6 mins,1286,1.3 km,286,5 mins
367293,Ladbrokes L0025,"Unit 115  ,Victoria Shopping Centre  ,  ,NOTTINGHAM  ,NG1 3DB",-1.1468719,52.9558227,C2338,"Unit 2a  ,The Elite Building  ,  ,NOTTINGHAM  ,NG1 2BP",-1.1500089,52.9548267,238,0.237539767,585,0.6 km,437,7 mins,1276,1.3 km,284,5 mins
386212,Ladbrokes L3511,"59 High Street  ,Kettering  ,  ,KETTERING  ,NN16 8SY",-0.7285875,52.3997697,C1227,"11 Lower Street  ,Kettering  ,  ,KETTERING  ,NN16 8DN",-0.7352733,52.4016109,498,0.497655503,615,0.6 km,427,7 mins,615,0.6 km,190,3 mins
388443,Ladbrokes L0195,"7/9 Corporation Street  ,Corby  ,  ,CORBY  ,NN17 1NG",-0.7001688,52.4876036,C2720,"34-36 George Street  ,Corby  ,  ,CORBY  ,NN17 1QD",-0.703308,52.4881834,222,0.222117335,299,0.3 km,222,4 mins,748,0.7 km,153,3 mins
418486,Ladbrokes L2649,"639/641 Midsummer Boulevard  ,Secklow Gate East  ,  ,MILTON KEYNES  ,MK9 3BQ",-0.7563066,52.0425233,C1846,"16-18 Secklow Gate West  ,Milton Keynes  ,  ,MILTON KEYNES  ,MK9 3AT",-0.7579609,52.0452816,327,0.32691172,494,0.5 km,359,6 mins,494,0.5 km,173,3 mins
436288,Ladbrokes L2423,"36A High Street  ,Grantham  ,  ,GRANTHAM  ,NG31 6PH",-0.641435,52.9112351,C1248,"29 Westgate  ,Grantham  ,  ,GRANTHAM  ,NG31 6LX",-0.6443181,52.9104159,214,0.213716755,277,0.3 km,207,3 mins,376,0.4 km,106,2 mins
442974,Ladbrokes L2857,"118 Kirkgate  ,Leeds  ,  ,LEEDS  ,LS1 6BY",-1.5407232,53.7968356,C1070,"3 Harper Street  ,Leeds  ,  ,LEEDS  ,LS2 7EA",-1.5380325,53.7963611,184,0.184427504,184,0.2 km,124,2 mins,177,0.2 km,60,1 min
466349,Ladbrokes L2326,"68/70 New Street  ,Huddersfield  ,  ,HUDDERSFIELD  ,HD1 2TR",-1.7836657,53.6441119,C1268,"4-6 Kirkgate  ,Huddersfield  ,  ,HUDDERSFIELD  ,HD1 1QH",-1.7814165,53.6467331,327,0.327002984,432,0.4 km,300,5 mins,1661,1.7 km,392,7 mins
467461,Ladbrokes L2836,"2 Upperhead Row Bus Station  ,Huddersfield  ,  ,HUDDERSFIELD  ,HD1 2JN",-1.7866595,53.6460747,C1268,"4-6 Kirkgate  ,Huddersfield  ,  ,HUDDERSFIELD  ,HD1 1QH",-1.7814165,53.6467331,353,0.353250269,424,0.4 km,284,5 mins,1311,1.3 km,443,7 mins
481933,Ladbrokes L2608,"49 Market Place  ,Doncaster  ,  ,DONCASTER  ,DN1 1NJ",-1.1334682,53.5242867,C2670,"35 St. Sepulchre Gate  ,Doncaster  ,  ,DONCASTER  ,DN1 1TD",-1.1362989,53.522765,252,0.252280271,309,0.3 km,223,4 mins,1701,1.7 km,454,8 mins
483045,Ladbrokes L3712,"39/47 Printing Office Street  ,Doncaster  ,  ,DONCASTER  ,DN1 1TP",-1.1342201,53.5221,C2670,"35 St. Sepulchre Gate  ,Doncaster  ,  ,DONCASTER  ,DN1 1TD",-1.1362989,53.522765,156,0.156053213,193,0.2 km,136,2 mins,147,0.1 km,65,1 min
484160,Ladbrokes L3898,"1 Bridgegate  ,Rotherham  ,  ,ROTHERHAM  ,S60 1PH",-1.3571707,53.432383,C3225,"3 Effingham Street  ,Rotherham  ,  ,ROTHERHAM  ,S65 1AJ",-1.3558122,53.431757,114,0.113774961,183,0.2 km,142,2 mins,72,72 m,31,1 min
499736,Ladbrokes L2590,"6/8 Matilda Street  ,Sheffield  ,  ,SHEFFIELD  ,S1 4QD",-1.4721122,53.3768287,C3199,"2 St. Paul's Parade  ,Sheffield  ,  ,SHEFFIELD  ,S1 2JL",-1.4693112,53.3790929,313,0.312900614,457,0.5 km,352,6 mins,463,0.5 km,164,3 mins
516425,Ladbrokes L2332,"15 Broadway  ,Accrington  ,  ,ACCRINGTON  ,BB5 1PL",-2.3655116,53.7534884,C1094,"33/35 Union Street  ,Accrington  ,  ,ACCRINGTON  ,BB5 1PL",-2.3666331,53.7541278,102,0.102427845,102,0.1 km,72,1 min,872,0.9 km,214,4 mins
567610,Ladbrokes L0190,"13-15 Market Place  ,Wigan  ,  ,WIGAN  ,WN1 1PE",-2.6312758,53.5461395,C3277,"42-44 Wallgate  ,Wigan  ,  ,WIGAN  ,WN1 1JU",-2.632726,53.5450213,157,0.156973081,205,0.2 km,138,2 mins,1473,1.5 km,321,5 mins
573173,Ladbrokes L2070,"64/66 Paragon Street  ,Hull  ,  ,HULL  ,HU1 3PW",-0.3425113,53.7441299,C3200,"Unit 6  ,74 Prospect Street  ,  ,HULL  ,HU2 8PW",-0.3436028,53.7469345,320,0.320010663,462,0.5 km,339,6 mins,969,1.0 km,286,5 mins
